Dim,Method,Value,Time
50,"rank_selection, pmx_crossover, mutation_scramble",8476,1.56
50,"rank_selection, ordered_crossover, mutation_swap",8359,1.52
50,"rank_selection, ordered_crossover, mutation_inverse",8717,1.52
50,"rank_selection, ordered_crossover, mutation_scramble",8694,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",8378,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",8558,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",8518,1.67
50,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",8347,1.57
50,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",8861,1.57
50,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",8763,1.62
70,"tournament_selection, pmx_crossover, mutation_swap",24483,3.24
70,"tournament_selection, pmx_crossover, mutation_inverse",25533,3.3
70,"tournament_selection, pmx_crossover, mutation_scramble",25041,3.38
70,"tournament_selection, ordered_crossover, mutation_swap",24605,3.27
70,"tournament_selection, ordered_crossover, mutation_inverse",25461,3.3
70,"tournament_selection, ordered_crossover, mutation_scramble",25112,3.42
70,"rank_selection, pmx_crossover, mutation_swap",24708,3.26
70,"rank_selection, pmx_crossover, mutation_inverse",25632,3.37
70,"rank_selection, pmx_crossover, mutation_scramble",25581,3.46
70,"rank_selection, ordered_crossover, mutation_swap",24901,3.31
70,"rank_selection, ordered_crossover, mutation_inverse",25801,3.39
70,"rank_selection, ordered_crossover, mutation_scramble",24993,3.47
70,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",24575,3.37
70,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",25555,3.44
70,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",25825,3.54
70,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",24997,3.42
70,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",25666,3.47
70,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",25599,3.49
12,"tournament_selection, pmx_crossover, mutation_swap",241,0.48
12,"tournament_selection, pmx_crossover, mutation_inverse",241,0.25
12,"tournament_selection, pmx_crossover, mutation_scramble",241,0.29
12,"tournament_selection, ordered_crossover, mutation_swap",241,0.29
12,"tournament_selection, ordered_crossover, mutation_inverse",241,0.32
12,"tournament_selection, ordered_crossover, mutation_scramble",241,0.37
12,"rank_selection, pmx_crossover, mutation_swap",241,0.36
12,"rank_selection, pmx_crossover, mutation_inverse",241,0.4
12,"rank_selection, pmx_crossover, mutation_scramble",241,0.39
12,"rank_selection, ordered_crossover, mutation_swap",241,0.35
12,"rank_selection, ordered_crossover, mutation_inverse",241,0.36
12,"rank_selection, ordered_crossover, mutation_scramble",241,0.38
12,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",241,0.51
12,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",241,0.52
12,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",241,0.5
12,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",241,0.48
12,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",241,0.48
12,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",241,0.51
