Dim,Method,Value,Time
50,"shaking_swap, make_change_scramble, local_search",8783,50.16
50,"shaking_swap, make_change_scramble, local_search_with_permutation",8636,122.04
50,"shaking_inverse, make_change_swap, local_search",8598,68.89
50,"shaking_inverse, make_change_swap, local_search_with_permutation",8561,185.92
50,"shaking_inverse, make_change_inverse, local_search",8599,71.85
50,"shaking_inverse, make_change_inverse, local_search_with_permutation",8629,184.85
50,"shaking_inverse, make_change_scramble, local_search",8605,74.77
50,"shaking_inverse, make_change_scramble, local_search_with_permutation",8604,123.18
70,"shaking_swap, make_change_swap, local_search",25614,84.11
70,"shaking_swap, make_change_swap, local_search_with_permutation",25552,195.88
70,"shaking_swap, make_change_inverse, local_search",26015,80.5
70,"shaking_swap, make_change_inverse, local_search_with_permutation",25902,198.2
70,"shaking_swap, make_change_scramble, local_search",25430,82.64
70,"shaking_swap, make_change_scramble, local_search_with_permutation",25837,199.05
70,"shaking_inverse, make_change_swap, local_search",25185,120.64
70,"shaking_inverse, make_change_swap, local_search_with_permutation",25064,316.9
70,"shaking_inverse, make_change_inverse, local_search",25562,121.26
70,"shaking_inverse, make_change_inverse, local_search_with_permutation",25125,314.93
70,"shaking_inverse, make_change_scramble, local_search",25713,124.82
70,"shaking_inverse, make_change_scramble, local_search_with_permutation",25224,322.08
